lat,lon
51.721595,-0.4108864
51.705981799999996,-0.4176178
,"[[-1.5311165, 51.1905464], [-1.5311056, 51.1904663], [-1.5309508, 51.1904746], [-1.5309617, 51.1905547], [-1.5311165, 51.1905464]]"
52.2425943,-4.259452
52.213411,-4.2817088
51.7140589,-3.4456329
57.1479247,-2.098252
57.1672187,-2.1242291
57.1391916,-2.1011303
57.2054692,-2.1900145
57.1581756,-2.1141402
57.1455666,-2.1054538
57.1178772,-2.1752604
57.1571782,-2.2253102
57.1716718,-2.1170224
57.1354043,-2.1148741
56.6191421,-3.8665532
,"[[-4.4649006, 53.1919481], [-4.464995, 53.1919186], [-4.4649726, 53.1918914], [-4.4650342, 53.1918724], [-4.4649875, 53.191817], [-4.4649185, 53.1918391], [-4.4648652, 53.1917758], [-4.4647637, 53.1918069], [-4.4648393, 53.1918954], [-4.4649006, 53.1919481]]"
51.8244655,-3.018433
51.7838846,-2.9699033999999997
51.8136143,-3.0322798
53.2842793,-3.582537
53.2899245,-3.6422214
,"[[-3.6077147, 53.2181466], [-3.6076778, 53.2180895], [-3.6075585, 53.2180993], [-3.6075966999999998, 53.2181712], [-3.6077147, 53.2181466]]"
53.2475567,-3.6392087
53.1926643,-3.6852967
52.8245914,-4.5047658
51.7241663,-3.058476
51.7210518,-3.129424
51.5963798,-3.2716662
,"[[-4.059411, 52.4185012], [-4.0593136, 52.4183235], [-4.05928, 52.4182581], [-4.0591688, 52.4182804], [-4.0591837, 52.4183076], [-4.0592809, 52.4184888], [-4.0592998, 52.4185235], [-4.059411, 52.4185012]]"
52.3159641,-4.0565685
52.4157277,-4.0835007
52.4009797,-4.0723112
52.4375297,-3.9986264
51.6696946,-1.2832948
57.0765842,-2.7775151
57.127367,-2.8591932
57.0864665,-2.6755876
53.7258128,-2.3324278
53.7750551,-2.3852918
53.7564838,-2.3550223
53.7536528,-2.3624673
53.7527293,-2.3768582
52.0154513,-1.3139941
,"[[-3.6231448, 55.8428623], [-3.6232779, 55.8428075], [-3.6231844, 55.8427359], [-3.6232333, 55.8427158], [-3.6231389, 55.8426435], [-3.6229569, 55.8427185], [-3.6231448, 55.8428623]]"
51.3718963,-0.48695049999999995
55.8669307,-3.9808183
52.6482215,-2.2921309
52.2142225,-1.8702054
52.1645434,-1.8615981
52.1520252,1.6011818
51.2511378,-0.7431384999999999
51.2490356,-0.7641756
51.2371301,-0.7526333
53.2659658,0.2006638
53.2613623,0.1785928
,"[[-1.3694529, 53.0711932], [-1.3695719, 53.071165], [-1.3694868, 53.0710212], [-1.3693815, 53.0710846], [-1.3694529, 53.0711932]]"
53.1444008,-1.3403692
53.0753497,-1.4005964
,"[[-1.3865256, 53.0975489], [-1.3865157, 53.0974727], [-1.3865148999999999, 53.0974663], [-1.3865141, 53.0974603], [-1.3863907, 53.0974659], [-1.3863926, 53.0974785], [-1.3864074, 53.0975776], [-1.386454, 53.0975751], [-1.3864971, 53.0975727], [-1.3865256, 53.0975489]]"
53.1289992,-1.3920759
53.1366763,-1.3860659
53.1197018,-1.3539173
53.1309855,-1.3349893
,"[[-1.4106632, 53.1262072], [-1.4105531, 53.1261703], [-1.4105311999999999, 53.1261938], [-1.4104964, 53.1261821], [-1.4104656, 53.1262153], [-1.4105629, 53.1262479], [-1.4106105, 53.1262638], [-1.4106632, 53.1262072]]"
53.1006667,-1.3445223
,"[[-1.3424396, 53.1063531], [-1.3424082, 53.1064111], [-1.3427468, 53.1064123], [-1.3428705, 53.1064081], [-1.3428635, 53.106373], [-1.3427433, 53.1063779], [-1.3427409, 53.106366], [-1.342595, 53.106366], [-1.342595, 53.1063541], [-1.3424396, 53.1063531]]"
,"[[-1.7068278, 55.4129432], [-1.7068017, 55.4128969], [-1.7067898, 55.412869], [-1.7068157, 55.4128637], [-1.7067687, 55.4127815], [-1.7066801999999999, 55.4127982], [-1.7067097, 55.4128523], [-1.7066775, 55.4128561], [-1.7066896, 55.4128812], [-1.7066351, 55.412889], [-1.7066677, 55.4129639], [-1.7068278, 55.4129432]]"
55.3710957,-1.688064
55.4243544,-1.8895062999999999
55.4081118,-1.6992911
55.3881698,-1.6125086
55.4967256,-1.6343581999999999
55.5492099,-1.9127789
55.5017137,-1.6627464
51.052988,-1.1693825
51.0897686,-1.1637484
,"[[-2.4383389, 54.8121689], [-2.438288, 54.8121005], [-2.4381434, 54.8121363], [-2.4380905, 54.8121494], [-2.4381204, 54.8121895], [-2.4381752, 54.812176], [-2.4381962, 54.8122042], [-2.4383389, 54.8121689]]"
54.7880386,-2.3413936
51.1636626,-0.9481529
53.4042658,-2.3413109
53.3762597,-2.3440767
53.3885054,-2.3490127
53.3722422,-2.3612556
53.3924984,-2.3116142
54.4324677,-2.9623108
51.7791747,-4.0204635
51.8014722,-3.9057139
51.7923601,-3.987711
,"[[-4.0418431, 51.7833141], [-4.0416773, 51.7832593], [-4.0415918, 51.7833583], [-4.0417576, 51.7834131], [-4.0418431, 51.7833141]]"
52.031989,-0.4921143
50.8288141,-0.48396469999999997
54.306666,-6.2012739
54.3617092,-5.7650234
54.1065463,-5.9028572
54.9875,-3.2624
54.7133001,-6.1888172
54.72088,-6.2206739
54.7203643,-6.1987173
54.7039324,-6.1758166
54.715415,-6.2194702
56.5671676,-2.5694536
,"[[-3.2831768, 57.4811255], [-3.2831735, 57.4810753], [-3.2829128, 57.4810788], [-3.2829128, 57.4811295], [-3.2831768, 57.4811255]]"
57.8818081,-4.3637513
,"[[-5.6063365, 54.2593915], [-5.6063853, 54.2594802], [-5.6065021, 54.2594582], [-5.6064533, 54.2593695], [-5.6063565, 54.2593877], [-5.6063365, 54.2593915]]"
54.1440494,-2.6380232
52.0238437,-0.2591929
54.3468687,-6.6491216
54.2647317,-6.6671203
54.3555795,-6.6577392
54.3473213,-6.6530873
55.1310853,-6.3274227
54.2036182,-2.8317824
50.8530184,-0.5723619
,"[[-0.5335354999999999, 50.9088299], [-0.5335439, 50.9087345], [-0.5335482, 50.9086857], [-0.5335211, 50.9086847], [-0.5334865999999999, 50.9086835], [-0.5334244, 50.9086813], [-0.5334116, 50.9088255], [-0.5335354999999999, 50.9088299]]"
50.8453644,-0.6196562999999999
50.8540538,-0.5529649
,"[[-0.6535462, 51.4015762], [-0.6531963, 51.4017149], [-0.6533403, 51.4018562], [-0.6536902, 51.4017176], [-0.6535462, 51.4015762]]"
51.2456076,-0.7253307
53.0088998,-1.7616679
52.9879797,-1.828227
53.0972187,-1.8075027
,"[[-1.6214237, 52.9693978], [-1.6212998, 52.9694243], [-1.6213463, 52.9695032], [-1.6214703, 52.9694767], [-1.6214237, 52.9693978]]"
52.9905948,-1.7031587
,"[[-1.7702240999999999, 52.8533193], [-1.7699776, 52.8532897], [-1.7699719, 52.8533073], [-1.770055, 52.8533173], [-1.7700411999999999, 52.8533591], [-1.7702046, 52.8533787], [-1.7702240999999999, 52.8533193]]"
53.0167513,-1.7318168999999999
50.5152793,-3.7553953
52.7468782,-1.4726488
52.7816426,-1.3971878
51.1302936,0.8530964
51.4327312,-0.4611944
51.1494604,0.8719871
55.1800573,-1.5610161
55.1832909,-1.5742564
54.1864635,-3.2060183
51.7251184,-1.5084096
51.571314,-1.2029674
52.5686148,-1.529558
